Countries,inciChildren0to14,inciAdolescents10to19,inciAdolescentgirls10to19,inciAdolescentboys10to19,mortChildren0to14,mortAdolescents10to19,mortAdolescentgirls10to19,mortAdolescentboys10to19,livChildren0to9,livAdolescents10to19,livAdolescentgirls10to19,livAdolescentboys10to19
Mongolia,-,-,-,-,-,-,-,-,-,-,-,-
Montenegro,-,-,-,-,-,-,-,-,-,-,-,-
Montserrat,-,-,-,-,-,-,-,-,-,-,-,-
Morocco,0.03,0.01,0.01,0.01,0.45,0.06,0.07,0.06,690,540,500,500
Mozambique,-,-,-,-,-,-,-,-,-,-,-,-
Myanmar,0.35,0.43,0.46,0.39,4.58,0.97,1.16,0.79,6600,12000,6300,5300
Namibia,1.33,4.3,7.64,1,26.72,29.36,31.73,26.97,3400,12000,7000,4700
Nauru,-,-,-,-,-,-,-,-,-,-,-,-
Nepal,0.02,0.01,0.01,0.01,0.18,0.03,0.03,0.03,660,1100,540,540
Netherlands,-,-,-,-,-,-,-,-,-,-,-,-
New Zealand,-,-,-,-,-,-,-,-,-,-,-,-
Nicaragua,0.04,0.22,0.15,0.28,0.61,0.32,0.32,0.31,200,520,500,500
Niger,0.08,0.01,0.02,0.01,1.95,1.1,1,1.19,1900,2100,1100,1100
Nigeria,0.71,0.32,0.58,0.06,17.94,6.45,6.64,6.28,130000,120000,71000,50000
Niue,-,-,-,-,-,-,-,-,-,-,-,-
North Macedonia,-,-,-,-,-,-,-,-,-,-,-,-
Norway,-,-,-,-,-,-,-,-,-,-,-,-
Oman,0.03,0.08,0.06,0.1,0.51,0.01,0.01,0.01,100,100,100,100
Pakistan,-,-,-,-,0.66,0.06,0.05,0.06,4100,3000,1300,1700
Palau,-,-,-,-,-,-,-,-,-,-,-,-
Panama,-,-,-,-,-,-,-,-,-,-,-,-
Papua New Guinea,0.55,0.31,0.49,0.15,9.32,1.13,1.17,1.2,2500,2500,1400,1100
Paraguay,0.11,0.2,0.15,0.24,2.42,0.37,0.46,0.29,500,590,500,500
Peru,0.07,0.04,0.05,0.03,1.04,0.25,0.22,0.23,1100,1000,540,500
Philippines,0.02,0.33,0.07,0.58,0.25,0.16,0.05,0.25,690,8000,860,7100
Poland,-,-,-,-,-,-,-,-,-,-,-,-
Portugal,-,-,-,-,-,-,-,-,-,-,-,-
Qatar,-,-,-,-,-,-,-,-,-,-,-,-
Republic of Korea,-,-,-,-,-,-,-,-,-,-,-,-
Republic of Moldova,0.12,0.16,0.17,0.16,2.86,0.01,0.01,0.01,200,200,100,100
Romania,0.02,0.01,0.01,0.01,0.27,0.01,0.01,0.01,200,200,100,100
Russian Federation,-,-,-,-,-,-,-,-,-,-,-,-
Rwanda,0.42,0.3,0.54,0.05,7.19,6.71,6.43,7,5300,14000,7400,6400
Saint Kitts and Nevis,-,-,-,-,-,-,-,-,-,-,-,-
Saint Lucia,-,-,-,-,-,-,-,-,-,-,-,-
Saint Vincent and the Grenadines,-,-,-,-,-,-,-,-,-,-,-,-
Samoa,-,-,-,-,-,-,-,-,-,-,-,-
San Marino,-,-,-,-,-,-,-,-,-,-,-,-
Sao Tome and Principe,-,-,-,-,-,-,-,-,-,-,-,-
Saudi Arabia,-,-,-,-,-,-,-,-,-,-,-,-
Senegal,0.14,0.03,0.04,0.01,3.77,2.44,2.26,2.62,2400,3300,1700,1600
Serbia,-,-,-,-,-,-,-,-,-,-,-,-
Seychelles,-,-,-,-,-,-,-,-,-,-,-,-
Sierra Leone,1.43,0.75,1.2,0.31,38.72,15.21,14.39,16.02,7600,8000,4600,3400
Singapore,-,-,-,-,-,-,-,-,-,-,-,-
Slovakia,-,-,-,-,-,-,-,-,-,-,-,-
Slovenia,-,-,-,-,-,-,-,-,-,-,-,-
Solomon Islands,-,-,-,-,-,-,-,-,-,-,-,-
Somalia,0.02,0.01,0.01,0.01,0.87,0.74,0.72,0.76,500,700,500,500
South Africa,1.85,7.19,12.66,1.95,16.82,26.98,30.77,23.23,130000,320000,200000,120000
South Sudan,1.37,0.99,1.53,0.47,32.15,10.61,10.76,10.47,11000,10000,6000,4200
Spain,-,-,-,-,-,-,-,-,-,-,-,-
Sri Lanka,-,-,-,-,-,-,-,-,-,-,-,-
State of Palestine,-,-,-,-,-,-,-,-,-,-,-,-
Sudan,0.08,0.04,0.05,0.03,1.96,0.59,0.59,0.58,2400,2100,1100,950
Suriname,0.28,0.21,0.32,0.11,3.96,0.01,0.01,0.01,100,200,100,100
Sweden,-,-,-,-,-,-,-,-,-,-,-,-
Switzerland,-,-,-,-,-,-,-,-,-,-,-,-
Syrian Arab Republic,-,-,-,-,-,-,-,-,-,-,-,-
Tajikistan,0.06,0.04,0.06,0.02,1.21,0.05,0.1,0.1,640,500,500,200
Thailand,0.01,0.21,0.14,0.29,0.84,0.98,0.96,1,640,6100,2700,3400
Timor-Leste,-,-,-,-,-,-,-,-,-,-,-,-
Togo,0.83,0.32,0.58,0.07,20.2,10.66,10.08,11.34,5300,8300,4500,3800
Tokelau,-,-,-,-,-,-,-,-,-,-,-,-
Tonga,-,-,-,-,-,-,-,-,-,-,-,-
Trinidad and Tobago,-,-,-,-,-,-,-,-,-,-,-,-
Tunisia,0.02,0.01,0.02,0.01,0.54,0.06,0.12,0.11,200,100,100,100
Türkiye,-,-,-,-,-,-,-,-,-,-,-,-
Turkmenistan,-,-,-,-,-,-,-,-,-,-,-,-
Turks and Caicos Islands,-,-,-,-,-,-,-,-,-,-,-,-
Tuvalu,-,-,-,-,-,-,-,-,-,-,-,-
Uganda,0.82,1.64,3.02,0.29,19.92,13.99,14,13.98,49000,98000,59000,40000
Ukraine,0.06,0.05,0.06,0.04,0.89,0.24,0.22,0.25,1300,2700,1400,1400
United Arab Emirates,-,-,-,-,-,-,-,-,-,-,-,-
United Kingdom,-,-,-,-,-,-,-,-,-,-,-,-
United Republic of Tanzania,0.96,1,1.6,0.41,23.52,11.99,12.4,11.58,61000,96000,54000,42000
United States,0.01,0.05,0.02,0.09,0.14,0.04,0.03,0.05,1000,5400,2000,3400
Uruguay,0.16,0.09,0.13,0.05,1.53,0.22,0.01,0.01,200,200,100,100
Uzbekistan,0.06,0.05,0.05,0.05,1.91,0.55,0.52,0.53,3700,4500,2300,2200
Vanuatu,-,-,-,-,-,-,-,-,-,-,-,-
Venezuela (Bolivarian Republic of),-,-,-,-,5.21,1.58,1.67,1.46,2700,4800,2000,2800
Viet Nam,0.05,0.03,0.03,0.02,0.6,0.04,0.05,0.03,3000,3700,1800,1900
Yemen,-,-,-,-,-,-,-,-,-,-,-,-
Zambia,1.25,2.94,5.09,0.84,28.31,26.96,28.73,25.21,40000,72000,44000,28000
Zimbabwe,1.92,1.77,3.12,0.43,41.3,38.13,37.53,38.79,36000,77000,42000,35000
